"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-01737"	10	26	"f"	11500	1130	1.2953	"27.2.2020"	"KB"	8	6	1
"BH-01737"	10	26	"f"	11500	1130	1.3999	"27.2.2020"	"KB"	8	7	1
"BH-01737"	10	26	"f"	11500	1130	1.4626	"27.2.2020"	"KB"	8	8	1
"BH-01738"	11	27	"f"	5400	860	0.4309	"23.12.2019"	"SB"	6	1	1
"BH-01738"	11	27	"f"	5400	860	0.6528	"23.12.2019"	"SB"	6	2	1
"BH-01738"	11	27	"f"	5400	860	0.9422	"23.12.2019"	"SB"	6	3	1
"BH-01738"	11	27	"f"	5400	860	1.0727	"23.12.2019"	"SB"	6	4	1
"BH-01738"	11	27	"f"	5400	860	1.2386	"23.12.2019"	"SB"	6	5	1
"BH-01738"	11	27	"f"	5400	860	1.395	"23.12.2019"	"SB"	6	6	1
"BH-01758"	12	28	"m"	2580	682	0.5327	"1.5.2020"	"SB"	6	1	1
"BH-01758"	12	28	"m"	2580	682	0.7354	"1.5.2020"	"SB"	6	2	1
"BH-01758"	12	28	"m"	2580	682	0.8278	"1.5.2020"	"SB"	6	3	1
"BH-01758"	12	28	"m"	2580	682	0.9454	"1.5.2020"	"SB"	6	4	1
"BH-01758"	12	28	"m"	2580	682	1.0617	"1.5.2020"	"SB"	6	5	1
"BH-01758"	12	28	"m"	2580	682	1.2019	"1.5.2020"	"SB"	6	6	1
"BH-01789"	13	29	"m"	1700	600	0.3109	"26.2.2020"	"KB"	2	1	1
"BH-01789"	13	29	"m"	1700	600	0.5999	"26.2.2020"	"KB"	2	2	1
"BH-01802"	14	30	"m"	1980	638	0.5513	"1.5.2020"	"SB"	4	1	1
"BH-01802"	14	30	"m"	1980	638	0.6907	"1.5.2020"	"SB"	4	2	1
"BH-01802"	14	30	"m"	1980	638	0.8497	"1.5.2020"	"SB"	4	3	1
"BH-01802"	14	30	"m"	1980	638	0.9951	"1.5.2020"	"SB"	4	4	1
"BH-01803"	10	31	"m"	1900	600	0.2999	"24.11.2019"	"SB"	4	1	2
"BH-01803"	10	31	"m"	1900	600	0.5176	"24.11.2019"	"SB"	4	2	2
"BH-01803"	10	31	"m"	1900	600	0.6614	"24.11.2019"	"SB"	4	3	2
"BH-01803"	10	31	"m"	1900	600	0.8288	"24.11.2019"	"SB"	4	4	2
"BH-01809"	11	32	"m"	900	520	0.3454	"26.2.2020"	"KB"	2	1	2
"BH-01809"	11	32	"m"	900	520	0.5748	"26.2.2020"	"KB"	2	2	2
"BH-01812"	15	33	"f"	8900	1020	0.392	"22.11.2019"	"SB"	6	1	1
