"ID"	"waterbody"	"capt"	"clust"	"age"	"cohort"	"weight"	"TL"	"sex"	"lifeyear"	"year"	"inc"	"rad"	"d18O_mean"	"d18O_max"	"d18O_min"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-01814"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3600	780	"m"	"1"	2015	427.6	427.6	-6.78516672976191	-6.4866577	-7.11993565714286	-0.902822572787221	-0.741220518563883	-1.03142883572041	0.00445342140921409	0.00606831978319783	0.00366333333333333	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01814"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3600	780	"m"	"2"	2016	368.4	796	-6.31086813265306	-6.13191118571429	-6.60998754285714	-0.678269926431556	-0.571694662406262	-0.849424990743097	0.00490539682539683	0.00575135501355013	0.00424924119241192	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01814"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3600	780	"m"	"3"	2017	157.8	953.8	-6.26293952063492	-5.71619261428571	-6.61691618571429	-0.76137297515337	-0.38974091452671	-1.0090830943569	0.00515293887383318	0.00564815718157182	0.00458569105691057	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01814"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3600	780	"m"	"4"	2018	124.8	1078.6	-6.08341068571429	-6.02243862857143	-6.1374541	-0.889510061773673	-0.836283756212656	-0.944287825276537	0.00583670280036134	0.00595257452574525	0.00569544715447155	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01814"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3600	780	"m"	"5"	2019	189.8	1268.4	-6.32535889428572	-6.21228344285714	-6.4478573	-1.05555615758002	-0.853017379593478	-1.18170240760837	0.00598089818041038	0.00631853658536585	0.00552216802168022	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01819"	"WRB"	"KB"	"HighS|Tconstant"	5	2015	2800	680	"m"	"1"	2016	380.5	380.5	-7.52204148319328	-6.29542715714286	-8.61375105714286	-1.64043348995549	-0.693501955152437	-2.5436332669128	0.00451657679738562	0.00613555555555556	0.00362152777777778	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01819"	"WRB"	"KB"	"HighS|Tconstant"	5	2015	2800	680	"m"	"2"	2017	163.3	543.8	-5.93362602467532	-5.45706137142857	-6.62107337142857	-0.094338326433764	0.335954500737513	-0.806785844482805	0.00475086868686869	0.00560930555555555	0.00365066666666667	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01819"	"WRB"	"KB"	"HighS|Tconstant"	5	2015	2800	680	"m"	"3"	2018	157.4	701.2	-6.08978503714286	-6.05292465714286	-6.12913972857143	-0.334923553417388	-0.262559997548992	-0.389936752623303	0.0048494	0.00533255555555556	0.00415183333333333	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01819"	"WRB"	"KB"	"HighS|Tconstant"	5	2015	2800	680	"m"	"4"	2019	143.1	844.3	-6.20951198571428	-6.15962575714286	-6.25939821428571	-0.602047880150778	-0.50948695638486	-0.694608803916696	0.00526891666666667	0.00637777777777778	0.00473208333333333	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01835"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3800	820	"m"	"1"	2015	479.5	479.5	-6.54162493333333	-6.1471542	-7.08529244285714	-0.159082996242945	0.325959044880198	-0.702360958377176	0.00367788788788789	0.00429333333333333	0.00294471471471472	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01835"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3800	820	"m"	"2"	2016	245.9	725.4	-5.8116099244898	-5.25890218571428	-6.26632685714286	0.0726007100061096	0.503198539689041	-0.214781643292308	0.00436489918489918	0.00510204204204204	0.00367177177177177	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01835"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3800	820	"m"	"3"	2017	164.3	889.7	-5.73753283428571	-5.61780588571428	-5.81596507142857	-0.0216101034477654	0.0854216034772376	-0.131969485667705	0.00494454054054054	0.00521357357357357	0.00461339339339339	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01835"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3800	820	"m"	"4"	2018	184.8	1074.5	-5.83647385428571	-5.51526197142857	-6.10419661428571	-0.188748091744895	-0.0254548713400329	-0.414216815765836	0.00497233033033033	0.00564936936936937	0.00436987987987987	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01835"	"WRB"	"KB"	"HighS|Tconstant"	6	2014	3800	820	"m"	"5"	2019	131.8	1206.3	-5.55821955714285	-5.49586177142857	-5.62057734285714	-0.142893763970268	-0.0938991474027987	-0.191888380537737	0.00517294294294294	0.00542027027027027	0.0049736036036036	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"1"	2008	532.5	532.5	-5.31405418285714	-4.4981372	-6.54347257142857	0.454637086089357	1.1298036848805	-0.203845458158136	0.00450507142857143	0.005455	0.00321333333333333	"Coast"	1.1875	8.44078947368421	9.86736842105263	1.67302631578947
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"2"	2009	241.4	773.9	-5.27275947142857	-4.66581035714286	-5.90603742857143	0.168741556690173	0.640496661790316	-0.401339626563433	0.00535407029478458	0.00572273809523809	0.00511063492063492	"Coast"	1.76923076923077	8.60428571428571	12.7362857142857	1.44928571428571
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"3"	2010	174	947.9	-4.66373176428572	-4.63671005714286	-4.71015367142857	0.47658606139203	0.52684670948965	0.420554386105079	0.00576384920634921	0.00592678571428572	0.00541873015873016	"Coast"	1.15	7.57916666666667	15.9070833333333	1.92083333333333
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"4"	2011	158.7	1106.6	-5.19862299285714	-5.19515867142857	-5.20208731428571	-0.0875480082797314	-0.0833031516751207	-0.0917928648843422	0.00598232142857143	0.00605948412698413	0.00590515873015873	"Coast"	1.08823529411765	7.14375	12.8503125	1.73356875
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"5"	2012	198.8	1305.4	-5.24608419642857	-5.09538621428571	-5.36837474285714	-0.00231200932216232	0.229333105151889	-0.162186324628061	0.00620592261904762	0.00681	0.00560642857142857	"Coast"	1.364	8.295	13.1289166666667	2.09425
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"6"	2013	125.3	1430.7	-5.16467264285714	-4.9831422	-5.38638921428571	0.131993325637859	0.3648236788512	-0.0662538954046593	0.00573306216931217	0.00626277777777778	0.0052106746031746	"Coast"	1.22941176470588	7.5025	11.138	1.83941666666667
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"7"	2014	98.2	1528.9	-4.57804754761905	-4.26672052857143	-4.97621355714286	0.555671748629068	0.848959820080437	0.179712607314064	0.0057011507936508	0.00574714285714286	0.00566603174603175	"Coast"	1.2	7.86923076923077	16.4144871794872	2.21307692307692
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"8"	2015	78.3	1607.2	-4.05655169523809	-3.84684477142857	-4.32214967142857	1.15045158860257	1.44078137706078	0.806284697413582	0.00633482804232804	0.00667444444444444	0.00603230158730159	"Coast"	1.56666666666667	8.4698275862069	11.4841379310345	1.77043103448276
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"9"	2016	84.8	1692	-4.07271852857143	-4.02421802857143	-4.12121902857143	1.28980506176761	1.31671925288847	1.26289087064675	0.00605027777777778	0.0060915873015873	0.00600896825396825	"Coast"	1.43846153846154	8.53272727272727	11.6740909090909	1.72754545454545
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"10"	2017	82.6	1774.6	-4.29131721071428	-4.16694807142857	-4.36649298571429	1.17611117132273	1.27544760850129	1.12167860922733	0.00558856150793651	0.00587063492063492	0.00530285714285714	"Coast"	1.5875	8.4969696969697	13.7030303030303	2.20378787878788
