"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-01570"	27	"f"	NA	980	1.5676	"NRB"	10	8	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.7085	"NRB"	10	9	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.8373	"NRB"	10	10	"BW-resident"	1
"BH-01571"	28	"f"	NA	520	0.5179	"NRB"	2	1	"Trans-habitat"	4
"BH-01571"	28	"f"	NA	520	0.7992	"NRB"	2	2	"Trans-habitat"	4
"BH-01576"	29	"f"	NA	570	0.5914	"NRB"	2	1	"BW-resident"	1
"BH-01576"	29	"f"	NA	570	0.8669	"NRB"	2	2	"BW-resident"	1
"BH-01580"	30	"f"	NA	490	0.6909	"NRB"	2	1	"Trans-habitat"	4
"BH-01580"	30	"f"	NA	490	0.9999	"NRB"	2	2	"Trans-habitat"	4
"BH-01582"	31	"f"	NA	830	0.4346	"NRB"	7	1	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	0.68	"NRB"	7	2	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	0.8886	"NRB"	7	3	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	1.0519	"NRB"	7	4	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	1.1696	"NRB"	7	5	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	1.2864	"NRB"	7	6	"BW-resident"	1
"BH-01582"	31	"f"	NA	830	1.4226	"NRB"	7	7	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	0.3864	"NRB"	10	1	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	0.5986	"NRB"	10	2	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	0.7657	"NRB"	10	3	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	0.9086	"NRB"	10	4	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	1.0311	"NRB"	10	5	"BW-resident"	1
