"ID"	"waterbody"	"TL_mm"	"clust"	"ecotype"	"sex"	"lifeyear"	"inc_um"	"res_mean"	"Sr_mean"
"BH-01571"	"NRB"	520	"BW Low saline|shift"	"Trans-habitat"	"f"	2	281.3	1.13210419743975	-0.200902437261359
"BH-01576"	"NRB"	570	"BW int saline|cold"	"BW-resident"	"f"	1	591.4	1.34585788480033	-0.541803407704581
"BH-01576"	"NRB"	570	"BW int saline|cold"	"BW-resident"	"f"	2	275.5	1.65022516849232	0.424515499779196
"BH-01580"	"NRB"	490	"BW Low saline|shift"	"Trans-habitat"	"f"	1	690.9	-1.17963316201895	-0.280210826479146
"BH-01580"	"NRB"	490	"BW Low saline|shift"	"Trans-habitat"	"f"	2	309	1.33728271807148	0.0103597766681645
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	1	434.6	-0.468409430209411	-0.334870871453023
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	2	245.4	0.609442296519511	0.339599337776455
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	3	208.6	0.486885529588324	0.466208242991305
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	4	163.3	1.31822990582918	0.339640012366334
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	5	117.7	0.532401650750808	0.693468269699968
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	6	116.8	0.837588244448487	0.940973149097047
"BH-01582"	"NRB"	830	"BW int saline|cold"	"BW-resident"	"f"	7	136.2	0.54703081187437	0.802297448885572
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	1	386.4	-2.07631983915473	-0.290426168487819
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	2	212.2	-0.61864986506314	0.48860492486399
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	3	167.1	-0.493655659947	0.496121762638165
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	4	142.9	-0.642093185670271	0.852277781849894
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	5	122.5	-0.132708063500526	1.05429634222255
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	6	169.1	0.18926509071392	1.30456238357849
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	7	111.3	0.133027396218452	1.42674000352289
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	8	102.2	-0.339309824143275	1.23954356743997
"BH-01585"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"m"	9	101.4	-1.10517401020711	1.36773576628185
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	1	437.7	-0.178128413754369	0.296180694529852
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	2	214.4	0.404660589945129	0.0194500201106237
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	3	167.7	0.645284239518832	-0.0359296428661052
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	4	149.5	1.44338953829464	-0.0108321646459715
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	5	138.4	1.12610972345931	0.493889541348924
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	6	110.2	1.83692334348284	0.547308539763823
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	7	119.9	2.40687319000379	0.0641735805245687
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	8	149.5	1.65466523872123	0.441381632414426
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	9	138.4	1.46874561737175	0.250253801838362
"BH-01588"	"NRB"	1050	"BW int saline|cold"	"BW-resident"	"f"	10	148.3	1.46931202302	0.330308891679718
"BH-01594"	"NRB"	630	"BW high saline|warm"	"BW-resident"	"f"	1	569	-1.85648545194246	-0.0693468205037863
"BH-01594"	"NRB"	630	"BW high saline|warm"	"BW-resident"	"f"	2	300	-0.986649097435545	0.434348021625726
"BH-01595"	"NRB"	690	"BW Low saline|shift"	"Trans-habitat"	"m"	1	518.8	-0.356004420302673	-0.422506124186429
"BH-01595"	"NRB"	690	"BW Low saline|shift"	"Trans-habitat"	"m"	2	256.2	0.220635269439284	-0.0915500543358319
"BH-01595"	"NRB"	690	"BW Low saline|shift"	"Trans-habitat"	"m"	3	199.5	-0.324737568199101	0.601923550187542
"BH-01595"	"NRB"	690	"BW Low saline|shift"	"Trans-habitat"	"m"	4	208.4	0.0835978538825394	0.866902031703282
"BH-01596"	"NRB"	660	"BW Low saline|shift"	"Trans-habitat"	"f"	1	556.4	-0.127185715229311	-0.487074322635938
"BH-01596"	"NRB"	660	"BW Low saline|shift"	"Trans-habitat"	"f"	2	277.1	0.777368487363815	0.193004244843185
"BH-01598"	"NRB"	750	"BW int saline|cold"	"BW-resident"	"f"	1	536.1	0.41031230612405	-0.156478024743778
"BH-01598"	"NRB"	750	"BW int saline|cold"	"BW-resident"	"f"	2	238.5	1.10712942522458	0.0391617620696916
"BH-01598"	"NRB"	750	"BW int saline|cold"	"BW-resident"	"f"	3	211.3	0.74329819102149	0.449300995718929
