"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-00732"	1	2018	"SB"	617	NA	"f"	2019-12-14	172.3	1	2019	510	510	766.8	3
"BH-00742"	1	2018	"GB"	550	NA	"m"	2019-11-08	153.2	1	2019	607.4	607.4	882.3	3
"BH-00750"	1	2018	"GB"	560	NA	"f"	NA	193.5	1	2019	696.7	696.7	833.5	3
"BH-01555"	5	2015	"BEG"	760	NA	"f"	2020-02-08	191.7	1	2016	424	424	1469.7	3
"BH-01555"	5	2015	"BEG"	760	NA	"f"	2020-02-08	191.7	2	2017	458	882	1469.7	3
"BH-01555"	5	2015	"BEG"	760	NA	"f"	2020-02-08	191.7	3	2018	250.7	1132.7	1469.7	3
"BH-01555"	5	2015	"BEG"	760	NA	"f"	2020-02-08	191.7	4	2019	205.9	1338.6	1469.7	3
"BH-01555"	5	2015	"BEG"	760	NA	"f"	2020-02-08	191.7	5	2020	131.1	1469.7	1469.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	1	2011	378.8	378.8	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	2	2012	224.6	603.4	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	3	2013	191	794.4	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	4	2014	162.5	956.9	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	5	2015	144.4	1101.3	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	6	2016	132.6	1233.9	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	7	2017	103.8	1337.7	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	8	2018	144.4	1482.1	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	9	2019	114.3	1596.4	1705.7	3
"BH-01556"	10	2010	"BEG"	1110	NA	"f"	2020-02-08	237.6	10	2020	109.3	1705.7	1705.7	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	1	2014	521.2	521.2	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	2	2015	203	724.2	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	3	2016	173.6	897.8	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	4	2017	167.2	1065	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	5	2018	160.7	1225.7	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	6	2019	113	1338.7	1446.2	3
"BH-01560"	7	2013	"BEG"	820	NA	"f"	2020-02-08	167.5	7	2020	107.5	1446.2	1446.2	3
"BH-01567"	2	2018	"BEG"	460	NA	"m"	2020-02-28	126.6	1	2019	476.7	476.7	745.8	3
"BH-01567"	2	2018	"BEG"	460	NA	"m"	2020-02-28	126.6	2	2020	269.1	745.8	745.8	3
